나의 회사 동료들은 내 생일을 축하하기 위해 선물들을 주었다.,My colleagues gave me some presents to celebrate my birthday.
내 어머니는 나에게 케이크를 가져다 주셨다.,My mother brought me some cake.
그녀는 그에게 그의 방을 보여주었다.,She showed him her room.
그녀는 그녀의 친구들에게 그녀의 비밀을 말해주었다.,She told her friends her secret.
회사는 직원들에게 인센티브 보너스를 제공했다.,The company offered its employees incentive bonuses.
아버지는 그의 아들들에게 그의 집들을 빌려주었다.,The father lent his sons his houses.
나에게 소금을 좀 줘.,Pass me salt.
나는 남자친구의 생일을 기념하기 위하여 직접 만든 선물을 그에게 보냈다.,I sent my boyfriend the gift I made to celebrate his birthday.
나는 사업의 실패 때문에 그에게 빚을 지고 있다.,I owe him a big debt due to my failure of running business.
은행이 마침내 그에게 5000달러의 융자를 승인했다.,The bank finaly granted him 5000 dollars of loan.
아버지는 나에게 최신의 자동차를 사주었다.,The father bought me the latest design of car.
그녀는 나에게 특별한 케이크를 만들어 주었다.,She made me special cake.
그는 나에게 패셔너블한 옷을 골라주었다.,He chose me the fashionable cloth.
그 호텔의 주방장은 특별한 손님들에게 특별한 요리를 해주었다.,The chief in that hotel cooked special guests special meals.
그는 여분의 돈을 나에게 나누어 주었다.,He spared me his extra money.
그녀는 나에게 호의를 요구한다.,She demands me a favour.
그녀는 그녀가 길을 잃어 버렸을 때 경찰관에게 길을 물었었다.,She inquired the policeman her way when she got lost.
그는 그의 상관에게 7일의 휴가를 요청했었다.,He requested his supervisor 7 days of holidays.
