나는 어제 회의에 그녀와 동반 했었다.,I accompanied her to the conference yesterday.
그녀는 그녀의 이력서를 인사부로 보냈다.,She addressed her resume to personnel department.
사회적 현상들은 사람들에게 영향을 미친다.,Social phenomena influence people.
그녀는 나에게 그 이슈에 대해서 대답을 했다.,She answered me regarding the issue.
낯선 남자가 나에게 말을 걸기 위해서 다가왔다.,The strange man approached me to address me.
그는 철학수업에 정기적으로 참석한다.,He attends philosophy class on a regular basis.
그는 그녀를 3시간 동안 기다렸다.,He awaited her for 3 hours.
그녀가 어제 산 옷은 그녀에게 잘 어울린다.,The cloth she bought yesterday suits her.
사회는 다양한 사람들로 구성이 되어 있다.,The society comprises a variety of people.
그들은 소셜 미디어 서비스를 통해서 서로 연락한다.,They contact each other through social media services.
그들은 어제 회의에서 회사의 내년도 예산에 대해서 토론했다.,They discussed the company's next year budget in the meeting yesterday.
날씨가 어두워지고 있었기 때문에 그들은 그들의 숙소로 들어갔다.,They enter their accomodation because weather was getting dark.
다양한 종류의 야생동물들이 그 자연 서식지에 산다.,Various kinds of wild animals inhabit the natural habitat.
그의 희망은 그녀와 결혼하는 것이다.,His hope is to marry her.
정부의 대변인은 미팅의 결과들에 대해서 언급했다.,The spokesman from government mentioned results of meeting.
학생들은 선생님들에게 복종하는 것이 중요하다.,It is important for pupils to obey their teachers.
NGO의 회원들은 정부의 개발을 위한 정책에 반대한다.,Members from NGO oppose government's plan for development.
실업률이 가장 높은 지점에 도달했었다.,Unemployment rate reached the highest point.
그녀는 여러 측면에서 그녀의 어머니를 닮았다.,She resembles her mother in many aspects.
그 파티의 호스트는 손님들을 반갑게 맞이하였다.,The host of the party greeted visitors.
그 회사는 사람들에게 필요한 생필품들을 제공한다.,The company provides people with necessay commodities.
정부는 그 기업에게 그 지역을 개발할 수 있는 권한을 주었다.,Government presented the company with authority to develop the area.
그 회사는 소유 공장들을 많은 장비로 갖추기 위해서 많은 돈을 사용했었다.,The company expended a lot of money to furnish its factories with heaps of equipment.
한 나라의 대통령들은 부통령들에게 중요한 임무들을 맡긴다.,A president in a country entrusts a vice president with important tasks.
강도들이 젊은 여성들로 부터 그들의 보석을 빼앗았다.,Thieves robbed young ladies of jewellery.
가난은 가난한 사람들에게 교육 받을 기회를 박탈한다.,The poverty deprives poor people of opportunities to get education.
정부는 사람들의 삶에서 위험들을 제거해야 한다.,Government shoud rid people's like of dangers.
그들의 취미를 즐기는 것은 그들의 스트레스를 줄여줄 수 있다.,Enjoying their hobby can relieve people of their stress.
그 선물은 나에게 그녀와의 소중한 기억들을 떠오르게 한다.,The gift reminds me of precious memories with her.
그들은 나에게 계획의 변경에 대해서 이메일로 알려주었다.,They informed me of changes of the plan though e-mail.
인사부는 나에게 프로젝트의 실패에 대해서 경고하였다.,The personnel department warned me of the failure of the project.
이 회사는 주주들에게 그 사업의 이점들에 대해서 확신 시킨다.,This company convinces shareholders of advantages of the business.
그 검사는 그 국회의원을 공금의 횡령으로 고발하였다.,The prosecutor accused the M.P of embezzlement on the public fund.
학생들을 그들의 좋은 행위에 대해서 칭찬하는 것은 매우 교육적이다.,Praising students for their good behaviour is very educational.
선생님들은 종종 학교에서 학생들을 낮은 성적에 대해서 꾸짖는다.,Teachers often scold students for lower grades at school.
시민들은 정치인들의 위선을 비난하는 경향이 있다.,Citizens tend to blame politicians for their hypocrisy.
정부는 청소년들을 그들의 청소년 범죄에 대해서 강하게 처벌하기로 결정을 하였다.,Government has decided to strongly punish teenagers for their juvenile delinquency.
그녀는 그의 실수들에 대해서 용서하였다.,She forgave him for his mistakes.
그녀는 그의 호의에 감사한다.,She thanks him for his favours.
청소년 범죄를 강하게 처벌하는 것은 청소년들이 다시 같은 범죄들를 범하는 것을 막는다.,Punishing juvenile delinquencies strongly can prevent teenagers from committing same crimes again.
그의 파산은 집을 사는 것을 못하게 한다.,His bankruptcy keeps from buying a house.
그녀의 설득은 그가 잘못된 선택을 하는 것을 하지 못하게 했다.,Her persuasion discouraged him from making a wrong decision.
그녀는 살을 빼기 위해서 패스트푸드 먹는 것을 스스로 억제한다.,She restrains herself from eating fast foods to lose her weight.
